"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.33600","1500","19116","MR3 3.7.45","3.18.64","Project 1","MyoMetrics Demo Record","","","male","2015-06-23T08:45:22.000Z","Treadmill Gait with MyoMotion & EMG  - Bilateral Gait Report"

"time","Activity","Marker","Ankle Dorsiflexion 左 (deg)","Ankle Abduction 左 (deg)","Ankle Inversion 左 (deg)","Ankle Dorsiflexion 右 (deg)","Ankle Abduction 右 (deg)","Ankle Inversion 右 (deg)","TIB.ANT. 左 (uV)","TIB.ANT. 右 (uV)","MED. GASTRO 左 (uV)","MED. GASTRO 右 (uV)"
0.38267,"","",-6.336552143,1.453738928,-0.7368978858,-19.457798,-3.954245329,3.519563437,7.740998002,25.44564396,21.62358332,8.453020693
0.38333,"","",-6.247420311,1.427701831,-0.756008327,-19.51409721,-3.92459178,3.507520437,7.774514818,25.63110427,21.73316524,8.461254209
0.38400,"","",-6.158288956,1.401664734,-0.7751187682,-19.57039833,-3.894673347,3.495853901,7.798567353,25.83147989,21.79988414,8.46136623
0.38467,"","",-6.069704056,1.375627637,-0.7942291498,-19.62669945,-3.865019798,3.483810902,7.829371476,26.07665055,21.83214454,8.477553211
0.38533,"","",-5.996976852,1.331612468,-0.8107915521,-19.64241219,-3.82159853,3.464617491,7.873739059,26.328592,21.86712025,8.485562686
0.38600,"","",-5.924249649,1.287597299,-0.8273538947,-19.65812302,-3.7781775,3.445423841,7.892366211,26.56561811,22.26614067,8.488139161
0.38667,"","",-5.852069378,1.243892193,-0.843916297,-19.67383575,-3.734756231,3.426230431,7.89471721,26.81888427,22.90934454,8.498893141
0.38733,"","",-5.779342175,1.199877024,-0.8604786396,-19.68889236,-3.691334963,3.407036781,7.948609359,27.09113803,23.38704412,8.501469616
0.38800,"","",-5.707161903,1.155861974,-0.8770409822,-19.7046032,-3.647913694,3.38784337,8.047230778,27.3593195,23.75083023,8.507014637
0.38867,"","",-5.634435177,1.112156749,-0.8933485746,-19.72031593,-3.604492426,3.368649721,8.121437974,27.63701932,24.06852083,8.509815153
0.38933,"","",-5.561707973,1.068141699,-0.9099109173,-19.73602867,-3.561071157,3.34945631,8.137352433,27.92286368,24.29259808,8.531603165
0.39000,"","",-5.489527702,1.024436474,-0.9264733195,-19.7517395,-3.517385244,3.330262899,8.181117196,28.13952841,24.43528085,8.583244676
0.39067,"","",-5.416800499,0.9804213643,-0.9430356622,-19.76745224,-3.473963976,3.31106925,8.265572338,28.17578639,24.45803768,8.644407938
0.39133,"","",-5.344620228,0.9364062548,-0.9595980048,-19.78316307,-3.430542707,3.291875839,8.34870128,28.36468115,24.49301339,8.712348451
0.39200,"","",-5.271893501,0.8927010894,-0.9761604071,-19.79887581,-3.387121439,3.27268219,8.427731042,28.67701985,24.75368259,8.774855961
0.39267,"","",-5.19971323,0.8486859798,-0.9924679399,-19.81458664,-3.343700171,3.253488779,8.535274207,28.941865,24.83940862,8.804821481
0.39333,"","",-5.126986027,0.8049808145,-1.009030342,-19.82964325,-3.300278902,3.23429513,8.646856272,29.1009291,25.55527918,8.818487997
0.39400,"","",-5.054258823,0.7609657049,-1.025592685,-19.84535599,-3.256857634,3.215101719,8.724559824,29.24370409,26.53026732,8.836243267
0.39467,"","",-4.982078552,0.7169505954,-1.042155027,-19.86106682,-3.213436604,3.195908308,8.760186511,29.49363392,26.99115789,8.836355288
