,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
23,7.40625,87.68359375,33,749.0,26.5,970.3505859375,34,2656.0,24.296875,964.732177734375,35,2510.0,3.203125,15.505615234375,21,261.0,20.203125,589.523193359375,32,1929.0,15.84375,412.9208984375,35,1612.0,17.296875,503.814208984375,39,1684.0,4.6875,41.8896484375,30,518.0,0
24,7.4375,93.33984375,37,766.0,28.421875,1188.015380859375,39,2852.0,26.59375,1082.1083984375,36,2694.0,3.140625,15.915771484375,24,268.0,21.09375,774.5849609375,37,2237.0,18.765625,602.876708984375,32,1854.0,20.90625,638.2255859375,39,1945.0,5.671875,62.562255859375,30,591.0,0
25,9.4375,156.6708984375,34,965.0,33.109375,1734.773193359375,38,3343.0,32.078125,1703.466552734375,37,3433.0,3.1875,16.4208984375,23,277.0,21.203125,797.316162109375,41,2387.0,20.296875,709.032958984375,40,2176.0,21.921875,717.363037109375,43,2329.0,6.8125,79.3662109375,31,700.0,0
26,9.421875,172.390380859375,40,1015.0,35.4375,1974.3125,40,3744.0,34.53125,1853.93359375,39,3638.0,3.171875,15.806396484375,26,281.0,21.625,698.2724609375,36,2235.0,16.75,503.1240234375,43,1854.0,18.015625,552.253662109375,40,2013.0,6.1875,66.6396484375,35,610.0,0
27,10.1875,201.4990234375,39,1135.0,33.046875,1726.183349609375,44,3552.0,31.828125,1554.486083984375,33,3168.0,3.21875,17.09375,25,291.0,22.515625,768.519287109375,33,2147.0,17.1875,552.4521484375,41,1959.0,16.203125,451.892333984375,33,1592.0,6.25,71.109375,31,611.0,0
28,10.390625,192.031005859375,35,1145.0,32.265625,1594.345458984375,39,3288.0,33.4375,1747.78125,33,3413.0,3.78125,24.12109375,27,359.0,23.78125,946.2724609375,37,2430.0,21.375,803.875,36,2271.0,22.40625,784.515625,40,2337.0,6.703125,75.980224609375,28,689.0,0
29,8.1875,120.265625,34,872.0,28.71875,1246.96484375,33,2747.0,32.875,1610.390625,34,3208.0,3.71875,21.984375,30,351.0,21.3125,788.27734375,39,2214.0,22.828125,954.611083984375,35,2448.0,20.296875,692.294677734375,38,2085.0,6.5,71.0068359375,33,710.0,0
30,7.953125,106.890380859375,32,769.0,28.34375,1260.8974609375,32,2652.0,27.921875,1156.882568359375,34,2614.0,3.0625,13.6708984375,24,287.0,22.3125,878.2490234375,34,2219.0,18.453125,658.554443359375,35,1874.0,19.3125,670.71875,31,1890.0,6.484375,72.253662109375,32,681.0,0
31,8.6875,110.578125,32,856.0,34.640625,1809.441162109375,36,3451.0,30.3125,1423.5849609375,37,2931.0,3.84375,24.125,27,368.0,22.515625,896.427490234375,29,2165.0,21.65625,846.9208984375,34,2182.0,24.4375,1000.0771484375,35,2522.0,6.0625,63.6005859375,23,598.0,0
32,10.28125,156.4755859375,40,1089.0,38.703125,1989.947021484375,38,3997.0,30.171875,1456.111083984375,33,2912.0,4.359375,29.997802734375,33,414.0,22.125,894.8125,32,2188.0,29.46875,1348.6552734375,32,2834.0,28.0,1379.6474609375,42,3053.0,7.390625,88.171630859375,28,750.0,0
33,11.046875,194.603271484375,40,1127.0,39.40625,1976.21875,41,3843.0,30.796875,1594.947021484375,35,3038.0,3.703125,21.591552734375,30,338.0,27.125,1269.3505859375,39,2793.0,26.765625,1136.159912109375,36,2701.0,27.40625,1359.296875,46,3064.0,8.59375,120.53125,40,937.0,0
