,0,1,2,3,4,5
104,0,-7.19701521244842,3.7962041938535767,0,-7.19701521244842,3.7962041938535767
105,0,-8.083093093032561,4.039943852102492,0,-8.083093093032561,4.039943852102492
106,0,-4.194691742457929,2.663349520424295,0,-4.194691742457929,2.663349520424295
107,0,-3.4466641135234863,3.0370511474204354,0,-3.4466641135234863,3.0370511474204354
108,2,1.5399310239619006,3.1561099148309877,2,1.5399310239619006,3.1561099148309877
109,4,6.742412114234116,0.8024082347382866,4,6.742412114234116,0.8024082347382866
110,4,3.86395584725465,-2.515024842266785,4,3.86395584725465,-2.515024842266785
111,4,1.866714896169094,-4.4588440633960005,4,1.866714896169094,-4.4588440633960005
112,4,0.1642734403097852,-5.471001811514864,4,0.1642734403097852,-5.471001811514864
113,5,-0.10938848589998784,-6.320021552716234,5,-0.10938848589998784,-6.320021552716234
114,5,0.31928121110252583,-6.38690862915435,5,0.31928121110252583,-6.38690862915435
115,5,0.3676055953572934,-6.766677584072668,5,0.3676055953572934,-6.766677584072668
116,5,0.47294944551499407,-6.427125364939935,5,0.47294944551499407,-6.427125364939935
117,5,0.21239366248730995,-5.979684187367872,5,0.21239366248730995,-5.979684187367872
118,5,-0.334767807261545,-6.006521000888251,5,-0.334767807261545,-6.006521000888251
119,5,-0.23364914912498147,-6.378060308398269,5,-0.23364914912498147,-6.378060308398269
120,5,0.17627305995996023,-6.799300157218783,5,0.17627305995996023,-6.799300157218783
121,5,-0.7240180719752574,-6.626952606681087,5,-0.7240180719752574,-6.626952606681087
122,5,-1.2024403467746172,-6.460493889676931,5,-1.2024403467746172,-6.460493889676931
123,5,-1.0332273847503672,-7.025523595280248,5,-1.0332273847503672,-7.025523595280248
124,5,-0.9823162385050783,-6.26832102935604,5,-0.9823162385050783,-6.26832102935604
125,5,-0.439692559191045,-5.258033430141603,5,-0.439692559191045,-5.258033430141603
126,6,-0.5972975882033462,-5.4940252349509455,6,-0.5972975882033462,-5.4940252349509455
