,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
16,9.890625,144.019287109375,35,913.0,4.421875,27.433349609375,29,393.0,3.828125,20.415771484375,28,311.0,7.765625,94.677490234375,35,777.0,11.25,186.03125,35,1092.0,16.8125,435.0380859375,43,1744.0,22.625,1005.5927734375,39,2463.0,7.90625,115.6630859375,30,867.0,0
17,11.203125,189.023193359375,43,1163.0,4.328125,30.296630859375,33,453.0,3.6875,20.05859375,23,300.0,7.25,91.96875,32,647.0,9.453125,149.847412109375,31,906.0,16.578125,420.435302734375,40,1698.0,16.140625,439.583740234375,42,1722.0,8.0,106.93359375,35,914.0,0
18,9.609375,156.614990234375,41,1060.0,4.0,27.8271484375,34,443.0,4.0,24.15234375,25,347.0,7.734375,102.228271484375,31,781.0,10.578125,177.474365234375,35,1060.0,18.484375,480.618896484375,36,1771.0,19.640625,670.579833984375,44,2205.0,8.0625,108.5380859375,34,869.0,0
19,6.90625,85.58984375,34,734.0,3.859375,26.072021484375,34,405.0,4.234375,25.603271484375,31,403.0,7.9375,97.8583984375,39,851.0,10.96875,184.2802734375,37,1071.0,18.5625,502.8896484375,39,1958.0,17.671875,561.743896484375,42,1964.0,6.9375,85.55859375,34,705.0,0
20,7.53125,95.74609375,33,760.0,4.21875,29.1708984375,36,445.0,4.0625,24.3125,32,426.0,8.390625,114.542724609375,37,876.0,10.265625,175.966552734375,38,1055.0,13.265625,286.874755859375,35,1392.0,15.0,369.609375,38,1616.0,6.03125,57.1552734375,40,618.0,0
21,7.53125,94.8896484375,38,769.0,4.09375,25.5380859375,35,423.0,3.125,16.5146484375,29,327.0,9.875,158.640625,33,981.0,11.203125,205.146240234375,36,1106.0,16.515625,458.245849609375,32,1538.0,16.140625,448.089599609375,34,1723.0,7.578125,89.745849609375,38,765.0,0
22,7.484375,89.995849609375,34,758.0,4.03125,23.65234375,31,380.0,3.21875,16.8193359375,27,325.0,10.59375,172.08984375,34,1077.0,12.265625,221.177490234375,37,1231.0,19.1875,601.5625,32,1850.0,20.09375,684.625,33,2139.0,8.4375,108.7958984375,35,831.0,0
23,7.921875,102.755615234375,33,805.0,4.03125,24.765625,26,366.0,3.9375,22.46875,26,384.0,9.84375,150.93359375,36,989.0,12.046875,259.239990234375,37,1205.0,16.09375,439.71484375,32,1517.0,21.6875,868.9755859375,34,2208.0,7.890625,104.734130859375,36,785.0,0
24,8.203125,110.564208984375,36,875.0,4.3125,28.5302734375,25,416.0,3.625,19.77734375,24,333.0,8.578125,118.888427734375,36,879.0,11.0,227.4443359375,35,1119.0,20.578125,697.300537109375,38,2141.0,24.421875,1048.072021484375,32,2484.0,8.5625,121.3896484375,39,939.0,0
25,8.21875,102.6875,35,855.0,4.328125,27.216552734375,27,394.0,3.5625,20.65234375,25,340.0,8.765625,129.032958984375,33,917.0,10.515625,179.902099609375,36,1085.0,21.859375,757.827880859375,39,2299.0,23.90625,932.84375,35,2456.0,8.1875,101.05859375,39,885.0,0
26,8.5625,118.0927734375,30,821.0,4.328125,32.536865234375,26,416.0,4.3125,28.75,32,429.0,9.90625,154.83984375,39,1087.0,10.984375,193.079833984375,39,1185.0,18.90625,610.8662109375,38,1923.0,21.390625,770.491943359375,39,2159.0,6.84375,70.3583984375,35,681.0,0
27,9.15625,134.875,29,816.0,4.21875,31.5,25,420.0,4.328125,28.679443359375,36,426.0,10.1875,148.9208984375,43,1088.0,11.890625,222.921630859375,38,1284.0,16.65625,510.24609375,40,1790.0,19.328125,633.781005859375,38,1973.0,6.3125,63.09375,35,638.0,0
28,9.546875,146.032958984375,33,897.0,3.96875,24.96484375,25,387.0,4.171875,28.531005859375,29,386.0,10.796875,174.400146484375,39,1075.0,12.546875,264.986083984375,38,1368.0,13.78125,339.6162109375,41,1433.0,19.828125,690.118896484375,37,2092.0,7.1875,90.6240234375,39,788.0,0
